X;Y;Type
0.27297;35.8112;Orange zones
0.49323;36.1504;Orange zones
-0.04526;35.7393;Orange zones
-0.65986;35.6797;Orange zones
-0.531333;35.7284;Orange zones
-0.638778;35.7046;Orange zones
-0.57426;35.63827;Orange zones
-0.70085;35.6605;Orange zones
-0.66179;35.6818;Orange zones
-0.673917;35.6855;Orange zones
-0.708092;35.7219;Orange zones
-0.565944;35.5574;Orange zones
-0.541472;35.720308;Orange zones
-0.66541;35.6323;Orange zones
-0.66344;35.6384;Orange zones
-0.667031;35.637843;Orange zones
-0.716548;35.7214;Orange zones
-0.448472;35.5377;Orange zones
-0.4215;35.7939;Orange zones
-0.445534;35.702;Orange zones
-0.500682;35.708711;Orange zones
-0.53356;35.52305;Orange zones
-0.4484;35.6989;Orange zones
-0.5287;35.7485;Orange zones
-0.684783;35.668823;Orange zones
-0.662642;35.630292;Orange zones
1.81005;35.6089;Orange zones
2.00873;35.8518;Orange zones
1.9664;35.673;Orange zones
0.497389;35.9246;Orange zones
0.57542;35.705;Orange zones
1.13037;35.7824;Orange zones
0.35183;35.7546;Orange zones
0.49201;35.7871;Orange zones
0.40721;35.7786;Orange zones
0.565998;35.921229;Orange zones
0.901185;35.957249;Orange zones
3.0959;36.6559;Orange zones
6.57359;36.03499;Orange zones
6.562022;36.043983;Orange zones
6.87123;35.968;Orange zones
6.49672;35.8637;Orange zones
6.38961;35.8976;Orange zones
7.29752;35.6633;Orange zones
7.18499;35.9352;Orange zones
6.46976;36.0795;Orange zones
6.8693;35.9718;Orange zones
6.63516;35.9071;Orange zones
6.8708;35.9785;Orange zones
6.39372;35.8938;Orange zones
6.70518;35.9238;Orange zones
7.661;35.6294;Orange zones
6.572962;36.054339;Orange zones
7.67102;35.6283;Orange zones
7.66418;35.6242;Orange zones
6.57106;36.0278;Orange zones
6.5107;35.8394;Orange zones
6.4107;35.8955;Orange zones
7.370867;35.783923;Orange zones
5.72321;34.8521;Orange zones
5.74041;34.8529;Orange zones
5.70034;34.8329;Orange zones
5.90351;34.75158;Orange zones
5.58475;35.0588;Orange zones
6.09082;34.6893;Orange zones
5.05782;34.4299;Orange zones
5.39302;34.7287;Orange zones
5.06679;34.4325;Orange zones
5.36144;34.7058;Orange zones
5.74744;34.842;Orange zones
5.74491;34.8506;Orange zones
5.43464;34.7218;Orange zones
5.79641;34.8521;Orange zones
4.99984;34.1657;Orange zones
5.38354;34.7292;Orange zones
5.72988;34.8347;Orange zones
4.9876;34.3959;Orange zones
5.72881;34.8292;Orange zones
5.737;34.8667;Orange zones
5.71422;34.84;Orange zones
5.43516;34.7264;Orange zones
5.69713;34.8216;Orange zones
4.97931;34.37988;Orange zones
4.94688;34.3472;Orange zones
5.00318;34.4044;Orange zones
5.08553;34.61;Orange zones
5.56328;34.6693;Orange zones
5.298;34.7316;Orange zones
5.6945;34.8721;Orange zones
4.99854;34.389653;Orange zones
5.386386;34.739823;Orange zones
4.994674;34.404377;Orange zones
7.72867;36.9053;Orange zones
7.752327;36.933932;Orange zones
4.78125;35.82046;Orange zones
4.23977;35.37873;Orange zones
5.08707;35.56398;Orange zones
4.9883;35.6876;Orange zones
4.17827;35.2135;Orange zones
4.19389;35.2974;Orange zones
4.17133;34.8446;Orange zones
4.78455;35.6877;Orange zones
4.3747;35.9241;Orange zones
5.09636;35.6169;Orange zones
4.28993;35.2129;Orange zones
4.52977;35.7166;Orange zones
4.08778;34.9872;Orange zones
4.09469;34.6801;Orange zones
4.79116;35.3286;Orange zones
4.18075;35.2207;Orange zones
3.89619;35.6618;Orange zones
4.16577;35.2034;Orange zones
4.56314;35.0406;Orange zones
4.11891;35.9495;Orange zones
3.88755;35.6732;Orange zones
4.15595;34.8525;Orange zones
4.51732;35.7143;Orange zones
4.72811;35.6966;Orange zones
4.51665;35.7263;Orange zones
4.52259;35.7084;Orange zones
4.52331;35.7218;Orange zones
5.03654;35.6491;Orange zones
4.17831;35.2248;Orange zones
3.78392;35.8927;Orange zones
4.77781;35.6158;Orange zones
4.19966;35.2254;Orange zones
4.1875;35.9822;Orange zones
3.77152;35.8936;Orange zones
4.55173;35.6953;Orange zones
4.37984;35.9189;Orange zones
3.88731;35.6772;Orange zones
4.49444;35.7326;Orange zones
4.16264;35.3171;Orange zones
5.0364;35.6339;Orange zones
3.67647;35.1469;Orange zones
4.54496;35.73713;Orange zones
5.1143;35.6113;Orange zones
4.7784;35.6955;Orange zones
