CELLNAME;NumSteps;InnerRadius;OuterRadius;LATITUDE;LONGITUDE;ANT_HEIGHT;ANT_AZIMUTH
4A06X216_97;5;0;120;36.72886;4.56261;30;130
4A06X216_99;5;0;120;36.72886;4.56261;30;330
4A06X232_97;5;0;120;36.75634;5.04925;30;0
4A06X232_98;5;0;120;36.75634;5.04925;30;120
4A06X232_99;5;0;120;36.75634;5.04925;30;240
4A06X253_98;5;0;120;36.75532;5.04041;30;150
4A06X253_99;5;0;120;36.75532;5.04041;30;220
4A09X268_100;5;0;120;36.5948;3.2153;30;330
4A09X268_97;5;0;120;36.5948;3.2153;30;60
4A09X268_98;5;0;120;36.5948;3.2153;30;180
4A09X268_99;5;0;120;36.5948;3.2153;30;270
4A10X068_97;5;0;120;36.53184;3.68277;30;30
4A10X068_98;5;0;120;36.53184;3.68277;30;130
4A15X001_97;5;0;120;36.71532;4.04613;30;0
4A15X001_98;5;0;120;36.71532;4.04613;30;120
4A15X001_99;5;0;120;36.71532;4.04613;30;240
4A15X022_100;5;0;120;36.58391;3.76904;30;30
4A15X022_97;5;0;120;36.58391;3.76904;30;90
4A15X022_99;5;0;120;36.58391;3.76904;30;330
4A15X027_97;5;0;120;36.80205;4.04142;30;30
4A15X027_98;5;0;120;36.80205;4.04142;30;120
4A15X027_99;5;0;120;36.80205;4.04142;30;200
4A15X047_97;5;0;120;36.64751;4.22072;30;20
4A15X047_98;5;0;120;36.64751;4.22072;30;200
4A15X047_99;5;0;120;36.64751;4.22072;30;280
4A15X084_97;5;0;120;36.54386;4.23697;30;120
4A15X084_98;5;0;120;36.54386;4.23697;30;270
4A15X084_99;5;0;120;36.54386;4.23697;30;350
4A15X097_97;5;0;120;36.53639;3.82872;30;0
4A15X136_97;5;0;120;36.735;3.9601;30;60
4A15X136_98;5;0;120;36.735;3.9601;30;130
4A15X136_99;5;0;120;36.735;3.9601;30;210
4A15X158_97;5;0;120;36.79467;4.41639;30;70
4A15X158_98;5;0;120;36.79467;4.41639;30;160
4A15X158_99;5;0;120;36.79467;4.41639;30;250
4A15X193_97;5;0;120;36.5246;4.20574;30;0
4A15X193_98;5;0;120;36.5246;4.20574;30;180
4A15X227_97;5;0;120;36.51367;4.42137;30;130
4A15X227_98;5;0;120;36.51367;4.42137;30;260
4A15X227_99;5;0;120;36.51367;4.42137;30;340
4A15X258_97;5;0;120;36.76356;4.13786;30;50
4A15X258_98;5;0;120;36.76356;4.13786;30;140
4A15X258_99;5;0;120;36.76356;4.13786;30;230
4A15X283_100;5;0;120;36.71269;4.19149;30;70
4A15X283_97;5;0;120;36.71269;4.19149;30;0
4A15X283_98;5;0;120;36.71269;4.19149;30;140
4A15X283_99;5;0;120;36.71269;4.19149;30;270
4A16M1029_100;5;0;120;36.71405;3.20294;30;0
4A16M1082_97;5;0;120;36.74974;2.98608;30;10
4A16M1082_99;5;0;120;36.74974;2.98608;30;160
4A16M1087_100;5;0;120;36.64404;3.09541;30;270
4A16M1087_97;5;0;120;36.64404;3.09541;30;40
4A16M1087_98;5;0;120;36.64404;3.09541;30;140
4A16M1087_99;5;0;120;36.64404;3.09541;30;200
4A16M1153_97;5;0;120;36.68077;3.04013;30;30
4A16M1153_98;5;0;120;36.68077;3.04013;30;130
4A16M1154_97;5;0;120;36.78437;3.23267;30;35
4A16M1154_98;5;0;120;36.78437;3.23267;30;100
4A16M1154_99;5;0;120;36.78437;3.23267;30;170
4A16M1219_97;5;0;120;36.7334;3.16972;30;30
4A16M1219_98;5;0;120;36.7334;3.16972;30;160
4A16M1365_100;5;0;120;36.72916;3.21645;30;250
4A16M1365_97;5;0;120;36.72916;3.21645;30;20
4A16M1365_98;5;0;120;36.72916;3.21645;30;90
4A16M1365_99;5;0;120;36.72916;3.21645;30;170
4A16M1367_97;5;0;120;36.7651;3.3143;30;70
4A16M1367_98;5;0;120;36.7651;3.3143;30;180
4A16M1367_99;5;0;120;36.7651;3.3143;30;330
4A16M1368_100;5;0;120;36.7328;3.2685;30;330
4A16M1368_97;5;0;120;36.7328;3.2685;30;30
4A16M1368_98;5;0;120;36.7328;3.2685;30;120
4A16M1368_99;5;0;120;36.7328;3.2685;30;240
4A16M1369_97;5;0;120;36.6518999;2.9675002;30;30
4A16M1369_98;5;0;120;36.6518999;2.9675002;30;120
4A16M1369_99;5;0;120;36.6518999;2.9675002;30;270
4A16M1370_97;5;0;120;36.712084;3.048695;30;90
4A16M1370_98;5;0;120;36.712084;3.048695;30;170
4A16M1370_99;5;0;120;36.712084;3.048695;30;330
4A16M1374_97;5;0;120;36.7287;3.1993;30;10
4A16M1374_98;5;0;120;36.7287;3.1993;30;190
4A16M1377_100;5;0;120;36.750822;2.946123;30;300
4A16M1377_97;5;0;120;36.750822;2.946123;30;50
4A16M1377_98;5;0;120;36.750822;2.946123;30;150
4A16M1377_99;5;0;120;36.750822;2.946123;30;220
4A16M1379_97;5;0;120;36.748482;3.225841;30;150
4A16M1379_98;5;0;120;36.748482;3.225841;30;255
4A16M1379_99;5;0;120;36.748482;3.225841;30;20
4A16M1382_100;5;0;120;36.6543;3.0065;30;320
4A16M1382_97;5;0;120;36.6543;3.0065;30;30
4A16M1382_98;5;0;120;36.6543;3.0065;30;150
4A16M1382_99;5;0;120;36.6543;3.0065;30;230
4A16M1384_97;5;0;120;36.7182;3.0994;30;60
4A16M1384_98;5;0;120;36.7182;3.0994;30;150
4A16M1384_99;5;0;120;36.7182;3.0994;30;270
4A16M1385_97;5;0;120;36.664494;3.118547;30;60
4A16M1385_98;5;0;120;36.664494;3.118547;30;260
4A16M1385_99;5;0;120;36.664494;3.118547;30;340
4A16M1425_98;5;0;120;36.7492;3.0256;30;110
4A16M1432_97;5;0;120;36.67324;3.03928;30;10
4A16M1432_98;5;0;120;36.67324;3.03928;30;120
4A16M1432_99;5;0;120;36.67324;3.03928;30;250
4A16M1434_97;5;0;120;36.7315;3.2322;30;0
4A16M1434_98;5;0;120;36.7315;3.2322;30;100
4A16M1434_99;5;0;120;36.7315;3.2322;30;220
4A16M1435_100;5;0;120;36.71001;3.21441;30;270
4A16M1435_97;5;0;120;36.71001;3.21441;30;0
4A16M1435_98;5;0;120;36.71001;3.21441;30;90
4A16M1435_99;5;0;120;36.71001;3.21441;30;180
4A16M1437_97;5;0;120;36.6828;3.0245;30;90
4A16M1437_98;5;0;120;36.6828;3.0245;30;190
4A16M1437_99;5;0;120;36.6828;3.0245;30;300
4A16M209_97;5;0;120;36.7668;3.05305;30;50
4A16M209_98;5;0;120;36.7668;3.05305;30;250
4A16M212_97;5;0;120;36.7631;3.0565;30;185
4A16M212_98;5;0;120;36.7631;3.0565;30;310
4A16M218_97;5;0;120;36.79204;3.0517;30;100
4A16M218_98;5;0;120;36.79204;3.0517;30;310
4A16M220_97;5;0;120;36.7698;3.02961;30;100
4A16M220_98;5;0;120;36.7698;3.02961;30;260
4A16M222_97;5;0;120;36.77315;3.05261;30;35
4A16M223_97;5;0;120;36.7765;3.05931;30;0
4A16M223_98;5;0;120;36.7765;3.05931;30;170
4A16M230_97;5;0;120;36.74347;3.07053;30;0
4A16M249_97;5;0;120;36.7545;3.06298;30;60
4A16M249_98;5;0;120;36.7545;3.06298;30;240
4A16M252_97;5;0;120;36.75858;3.05393;30;110
4A16M252_98;5;0;120;36.75858;3.05393;30;290
4A16M252_99;5;0;120;36.75858;3.05393;30;340
4A16M256_97;5;0;120;36.73661;3.09211;30;160
4A16M256_98;5;0;120;36.73661;3.09211;30;280
4A16M257_97;5;0;120;36.73687;3.09036;30;10
4A16M257_98;5;0;120;36.73687;3.09036;30;100
4A16M257_99;5;0;120;36.73687;3.09036;30;280
4A16M264_97;5;0;120;36.741162;3.103189;30;110
4A16M264_98;5;0;120;36.741162;3.103189;30;260
4A16M265_97;5;0;120;36.74296;3.0987;30;110
4A16M265_98;5;0;120;36.74296;3.0987;30;290
4A16M274_97;5;0;120;36.74353;3.07948;30;110
4A16M274_98;5;0;120;36.74353;3.07948;30;310
4A16M282_97;5;0;120;36.7745;3.04549;30;30
4A16M292_97;5;0;120;36.75189;3.05149;30;120
4A16M295_97;5;0;120;36.75826;3.04271;30;110
4A16M295_98;5;0;120;36.75826;3.04271;30;320
4A16M296_97;5;0;120;36.7618;3.04262;30;180
4A16M296_98;5;0;120;36.7618;3.04262;30;305
4A16M300_97;5;0;120;36.7694;3.03393;30;90
4A16M300_98;5;0;120;36.7694;3.03393;30;275
4A16M306_100;5;0;120;36.77635;3.06231;30;280
4A16M307_97;5;0;120;36.687902;3.173108;30;80
4A16M307_98;5;0;120;36.687902;3.173108;30;240
4A16M308_97;5;0;120;36.7832;3.06025;30;170
4A16M308_98;5;0;120;36.7832;3.06025;30;350
4A16M310_97;5;0;120;36.78389;3.06211;30;170
4A16M310_98;5;0;120;36.78389;3.06211;30;350
4A16M314_97;5;0;120;36.76769;3.05031;30;105
4A16M316_97;5;0;120;36.7208;3.14491;30;50
4A16M316_98;5;0;120;36.7208;3.14491;30;100
4A16M316_99;5;0;120;36.7208;3.14491;30;220
4A16M322_97;5;0;120;36.7705;3.0497;30;0
4A16M322_98;5;0;120;36.7705;3.0497;30;120
4A16M323_97;5;0;120;36.76867;3.04981;30;30
4A16M323_98;5;0;120;36.76867;3.04981;30;230
4A16M326_97;5;0;120;36.76209;3.04786;30;180
